survived;pclass;sex;age;sibsp;parch;fare;embarked;class;who;adult_male;deck;embark_town;alive;alone
0;3;male;22;1;0;7.25;S;Third;man;True;;Southampton;no;False
1;1;female;38;1;0;71.28;C;First;woman;False;C;Cherbourg;yes;False
1;3;female;26;0;0;7.93;S;Third;woman;False;;Southampton;yes;True
1;1;female;35;1;0;53.10;S;First;woman;False;C;Southampton;yes;False
0;3;male;35;0;0;8.05;S;Third;man;True;;Southampton;no;True
0;3;male;;0;0;8.46;Q;Third;man;True;;Queenstown;no;True
0;1;male;54;0;0;51.86;S;First;man;True;E;Southampton;no;True
0;3;male;2;3;1;21.08;S;Third;child;False;;Southampton;no;False
1;3;female;27;0;2;11.13;S;Third;woman;False;;Southampton;yes;False
1;2;female;14;1;0;30.07;C;Second;child;False;;Cherbourg;yes;False
1;3;female;4;1;1;16.70;S;Third;child;False;G;Southampton;yes;False
1;1;female;58;0;0;26.55;S;First;woman;False;C;Southampton;yes;True
0;3;male;20;0;0;8.05;S;Third;man;True;;Southampton;no;True
0;3;male;39;1;5;31.28;S;Third;man;True;;Southampton;no;False
0;3;female;14;0;0;7.85;S;Third;child;False;;Southampton;no;True
1;2;female;55;0;0;16.00;S;Second;woman;False;;Southampton;yes;True
0;3;male;2;4;1;29.13;Q;Third;child;False;;Queenstown;no;False
1;2;male;;0;0;13.00;S;Second;man;True;;Southampton;yes;True
0;3;female;31;1;0;18.00;S;Third;woman;False;;Southampton;no;False
1;3;female;;0;0;7.23;C;Third;woman;False;;Cherbourg;yes;True
0;2;male;35;0;0;26.00;S;Second;man;True;;Southampton;no;True
1;2;male;34;0;0;13.00;S;Second;man;True;D;Southampton;yes;True
1;3;female;15;0;0;8.03;Q;Third;child;False;;Queenstown;yes;True
1;1;male;28;0;0;35.50;S;First;man;True;A;Southampton;yes;True
0;3;female;8;3;1;21.08;S;Third;child;False;;Southampton;no;False
1;3;female;38;1;5;31.39;S;Third;woman;False;;Southampton;yes;False
0;3;male;;0;0;7.23;C;Third;man;True;;Cherbourg;no;True
0;1;male;19;3;2;263.00;S;First;man;True;C;Southampton;no;False
1;3;female;;0;0;7.88;Q;Third;woman;False;;Queenstown;yes;True
0;3;male;;0;0;7.90;S;Third;man;True;;Southampton;no;True
